id	Date	sex	status	avail	hold	dam	sire	origin	birth	death	arrivedate	arrivetime	departdate	departtime	room	cage	cond	weight	wdate	wtime	tbdate	medical	purchasedby	v_status
cj1623	2009-03-03	m	alive	u		cj1038	cj0955	cen	2009-03-03						a142	0002	gmf	0.1700	2009-06-17	1970-01-01 11:50:00				
r09016	2009-03-02	f	alive	ab		rhas84	r97005	cen	2009-03-02						ab163	0009	m	1.1300	2009-07-15	1970-01-01 09:30:00	2009-07-15			SPF
r09015	2009-02-28	f	alive	ab		r04016	r96018	cen	2009-02-28						ab119	0010	gm	1.0100	2009-07-07	1970-01-01 09:30:00	2009-07-07			SPF
r09014	2009-02-24	m	alive	ab		rh2012	r02075	cen	2009-02-24						ab120	0045	m	1.3600	2009-07-23	1970-01-01 09:10:00	2009-07-23			
r09013	2009-02-21	f	alive	ab		r99059	r99070	cen	2009-02-21						ab167	0024	m	1.3700	2009-07-16	1970-01-01 09:30:00	2009-07-16			SPF
r09010	2009-02-15	f	alive	ab		r96004	r95059	cen	2009-02-15						ab140	0017	gm	1.2000	2009-07-14	1970-01-01 08:50:00	2009-07-14			
r09012	2009-02-15	m	alive	ab		r01012	r98012	cen	2009-02-15						ab167	0017	gm	1.3000	2009-07-16	1970-01-01 09:30:00	2009-07-16			SPF
r09011	2009-02-15	f	alive	ab		r98044		cen	2009-02-15						ab167	0007	gm	1.1900	2009-07-16	1970-01-01 09:30:00	2009-07-16			SPF
cj1620	2009-02-13	f	alive	u		cj1002	cj0623	cen	2009-02-13						a142	0018	gmf	0.1790	2009-06-10	1970-01-01 12:35:00	2009-05-21			
cj1619	2009-02-13	m	d-othr	u		cj1002	cj0623	cen	2009-02-13	2009-02-23					a142	0018	gmf	0.0230	2009-02-23					
cj1621	2009-02-13	m	alive	u		cj1002	cj0623	cen	2009-02-13						a142	0018	gmf	0.1880	2009-06-10	1970-01-01 12:35:00	2009-05-21			
r09009	2009-02-11	m	alive	ab		r94065	rh2055	cen	2009-02-11						ab108	0013	m	1.4100	2009-07-27	1970-01-01 09:00:00	2009-07-27			SPF
cj1618	2009-02-05	f	d-othr	u		cj1148	cj0667	cen	2009-02-05	2009-02-05					a165	0003	gmf	0.0228	2009-02-05					
r09008	2009-02-05	m	alive	ab		r99023	rh2142	cen	2009-02-05						ab112	0001	p	1.2600	2009-06-12	1970-01-01 09:00:00				
cj1616	2009-02-05	m	alive	u		cj1148	cj0667	cen	2009-02-05						a165	0003	gmf	0.2130	2009-07-27	1970-01-01 09:55:00	2009-05-18			
cj1617	2009-02-05	m	alive	u		cj1148	cj0667	cen	2009-02-05						a165	0003	gmf	0.2290	2009-07-27	1970-01-01 09:55:00	2009-05-18			
r09007	2009-02-04	f	alive	ab		r03105	r96018	cen	2009-02-04						ab142	0009	gm	1.2400	2009-07-14	1970-01-01 10:25:00	2009-07-14			SPF
cj1615	2009-02-01	m	alive	u		cj0962	cj0573	cen	2009-02-01						a140a	0015	gf	0.2120	2009-07-23	1970-01-01 10:50:00	2009-05-18			
cj1614	2009-02-01	f	alive	u		cj0962	cj0573	cen	2009-02-01						a140a	0015	gf	0.2040	2009-07-23	1970-01-01 10:50:00	2009-05-18			
r09005	2009-01-30	m	alive	ab		r00039	r01071	cen	2009-01-30						ab167	0023	m	1.6700	2009-07-16	1970-01-01 09:30:00	2009-07-16			SPF
r09006	2009-01-30	m	alive	ab		r03077	r03015	cen	2009-01-30						ab142	0011	gm	1.2200	2009-07-14	1970-01-01 10:25:00	2009-07-14			SPF
r09004	2009-01-29	m	alive	ab		rh2240	r02009	cen	2009-01-29						ab163	0010	m	1.3200	2009-07-15	1970-01-01 09:30:00	2009-07-15			SPF
cj1613	2009-01-27		d-othr	u		cj0574	cj0465	cen	2009-01-27	2009-02-02					ab190	pen1	gmf	0.0269	2009-02-02	1970-01-01 07:00:00				
cj1612	2009-01-27		d-othr	u		cj0574	cj0465	cen	2009-01-27	2009-02-01					ab190	pen1	gmf	0.0272	2009-02-01					
r09003	2009-01-18	f	alive	ab		rh1966	r95092	cen	2009-01-18						ab142	0023	gm	1.1500	2009-07-14	1970-01-01 10:25:00	2009-07-14			SPF
r09002	2009-01-10	m	alive	ab		rh2241	r01037	cen	2009-01-10						ab163	0013	gm	1.4900	2009-07-15	1970-01-01 09:30:00	2009-07-15			SPF
r09001	2009-01-01	m	alive	ab		r02026	r95059	cen	2009-01-01						ab118	0003	gm	1.3000	2009-07-02	1970-01-01 09:05:00	2009-07-02			SPF
cj1611	2008-12-17	m	d-othr	u		cj1090	cj1487	cen	2008-12-17	2008-12-19					a165	0026	gmf	0.0270	2008-12-19					
cj1607	2008-12-07	m	d-othr	u		cj0950	cj1157	cen	2008-12-07	2008-12-09					a140	0014	gmf	0.0190						
cj1610	2008-12-07	f	alive	u		cj0950	cj1157	cen	2008-12-07						a163a	0005	gmf	0.2210	2009-06-12	1970-01-01 09:00:00				
